"class","branch_lengths","model","lambda","n_species","intercept","slope","slope_SE","t_value","p_value","AIC"
"Amphibia","source_tree","lambda_near0",0.001,18,1.26888558891556,0.0364524620560593,0.0933721932495487,0.39039954816779,0.701389756543725,8.67752780868791
"Amphibia","source_tree","lambda_half",0.5,18,1.24090690883406,0.0759899178255177,0.0886907451503479,0.856796475175624,0.404207956734016,5.8927787732254
"Amphibia","source_tree","lambda_1",1,18,1.23548312092428,0.0945673918685703,0.184071822523276,0.513752678559001,0.614446658752528,37.85307204957
"Amphibia","source_tree","lambda_ML",0.474417408926754,18,1.23964133925831,0.0759942877373221,0.0886760443010546,0.856987795704124,0.404105324503942,5.88553084739709
"Aves","Grafen_topology_derived","lambda_near0",0.001,1099,0.72994694231203,0.211820829363993,0.00745332001617452,28.4196611582917,0,-484.450880156925
"Aves","Grafen_topology_derived","lambda_half",0.5,1099,0.618781878601682,0.226345114332283,0.0122587064310726,18.4640292680929,0,-667.866890929347
"Aves","Grafen_topology_derived","lambda_1",1,1099,0.665820204294429,0.199250775500481,0.0227672761545276,8.75162993359913,0,121.826165909647
"Aves","Grafen_topology_derived","lambda_ML",0.594368227491103,1099,0.619573272980588,0.224702747621851,0.012561603178658,17.888062887038,0,-668.948201664603
"Reptilia","source_tree","lambda_near0",0.001,341,0.876853289952995,0.137614908823514,0.0115758807851778,11.8880723961602,0,-18.1817805208989
"Reptilia","source_tree","lambda_half",0.5,341,1.09729724429016,0.0982521056465562,0.0150620881396415,6.52313973571625,2.50518494837593e-10,-131.264654874856
"Reptilia","source_tree","lambda_1",1,341,1.4157224045594,0.00583123041494228,0.0196982064081124,0.296028495901067,0.767389576721269,39.2711550906085
"Reptilia","source_tree","lambda_ML",0.788205963787633,341,1.1383212185694,0.0918222352244289,0.0160767064212675,5.71150786848727,2.45050317815299e-08,-142.606237222171
"Mammalia","source_tree","lambda_near0",0.001,936,0.661170215153557,0.161019389782807,0.00526853781203488,30.5624436091151,0,-101.872010754963
"Mammalia","source_tree","lambda_half",0.5,936,0.703906009071773,0.154809834373681,0.00701616481028911,22.064737439841,0,-966.92905839404
"Mammalia","source_tree","lambda_1",1,936,0.881715924252885,0.106444321077402,0.0102505340164993,10.3842708005328,0,-1072.73449662071
"Mammalia","source_tree","lambda_ML",0.973786188903451,936,0.819841989232805,0.126110993418713,0.00912749900851404,13.8165989720818,0,-1226.45613156972
