Echinops telfairi
Hemicentetes semispinosus
Microgale dobsoni
Microgale talazaci
Setifer setosus
Tenrec ecaudatus
Antilocapra americana
Addax nasomaculatus
Aepyceros melampus
Alcelaphus buselaphus
Ammotragus lervia
Antidorcas marsupialis
Antilope cervicapra
Bison bison
Bison bonasus
Bos frontalis
Bos grunniens
Bos javanicus
Bos taurus
Boselaphus tragocamelus
Bubalus bubalis
Bubalus depressicornis
Bubalus quarlesi
Budorcas taxicolor
Capra caucasica
Capra cylindricornis
Capra falconeri
Capra hircus
Capra ibex
Capra nubiana
Capra sibirica
Capricornis crispus
Capricornis sumatraensis
Cephalophus dorsalis
Cephalophus jentinki
Cephalophus natalensis
Cephalophus niger
Cephalophus nigrifrons
Cephalophus rufilatus
Cephalophus silvicultor
Cephalophus weynsi
Connochaetes gnou
Connochaetes taurinus
Damaliscus lunatus
Damaliscus pygargus
Eudorcas rufifrons
Eudorcas thomsonii
Gazella cuvieri
Gazella dorcas
Gazella gazella
Gazella leptoceros
Gazella saudiya
Gazella subgutturosa
Hemitragus hylocrius
Hemitragus jemlahicus
Hippotragus equinus
Hippotragus niger
Kobus ellipsiprymnus
Kobus kob
Kobus leche
Kobus megaceros
Litocranius walleri
Madoqua guentheri
Madoqua kirkii
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus goral
Nanger dama
Nanger granti
Nanger soemmerringii
Neotragus moschatus
Neotragus pygmaeus
Oreamnos americanus
Oreotragus oreotragus
Oryx dammah
Oryx gazella
Oryx leucoryx
Ourebia ourebi
Ovibos moschatus
Ovis ammon
Ovis aries
Ovis canadensis
Ovis dalli
Philantomba maxwellii
Philantomba monticola
Procapra gutturosa
Pseudois nayaur
Raphicerus campestris
Redunca arundinum
Redunca fulvorufula
Rupicapra rupicapra
Sylvicapra grimmia
Syncerus caffer
Taurotragus derbianus
Taurotragus oryx
Tetracerus quadricornis
Tragelaphus angasii
Tragelaphus eurycerus
Tragelaphus imberbis
Tragelaphus scriptus
Tragelaphus spekii
Tragelaphus strepsiceros
Camelus bactrianus
Camelus dromedarius
Lama glama
Lama guanicoe
Vicugna pacos
Vicugna vicugna
Axis axis
Axis calamianensis
Axis kuhlii
Axis porcinus
Capreolus capreolus
Cervus elaphus
Cervus nippon
Dama dama
Elaphodus cephalophus
Elaphurus davidianus
Hydropotes inermis
Mazama americana
Mazama gouazoubira
Muntiacus muntjak
Muntiacus reevesi
Odocoileus hemionus
Odocoileus virginianus
Ozotoceros bezoarticus
Przewalskium albirostre
Pudu puda
Rangifer tarandus
Rucervus duvaucelii
Rucervus eldii
Rusa alfredi
Rusa timorensis
Rusa unicolor
Giraffa camelopardalis
Okapia johnstoni
Hexaprotodon liberiensis
Hippopotamus amphibius
Babyrousa babyrussa
Phacochoerus africanus
Potamochoerus porcus
Sus barbatus
Sus salvanius
Sus scrofa
Sus verrucosus
Pecari tajacu
Tayassu pecari
Moschiola meminna
Tragulus javanicus
Tragulus napu
Ailurus fulgens
Atelocynus microtis
Canis adustus
Canis aureus
Canis familiaris
Canis latrans
Canis lupus
Canis mesomelas
Cerdocyon thous
Chrysocyon brachyurus
Cuon alpinus
Lycalopex culpaeus
Lycalopex griseus
Lycalopex gymnocercus
Lycalopex sechurae
Lycalopex vetulus
Lycaon pictus
Nyctereutes procyonoides
Otocyon megalotis
Speothos venaticus
Urocyon cinereoargenteus
Vulpes corsac
Vulpes lagopus
Vulpes macrotis
Vulpes pallida
Vulpes rueppellii
Vulpes velox
Vulpes vulpes
Vulpes zerda
Cryptoprocta ferox
Fossa fossana
Galidia elegans
Acinonyx jubatus
Caracal caracal
Catopuma temminckii
Felis catus
Felis chaus
Felis manul
Felis margarita
Felis nigripes
Felis silvestris
Leopardus colocolo
Leopardus geoffroyi
Leopardus pardalis
Leopardus tigrinus
Leopardus wiedii
Leptailurus serval
Lynx canadensis
Lynx lynx
Lynx rufus
Neofelis nebulosa
Panthera leo
Panthera onca
Panthera pardus
Panthera tigris
Prionailurus bengalensis
Prionailurus planiceps
Prionailurus rubiginosus
Prionailurus viverrinus
Profelis aurata
Puma concolor
Puma yagouaroundi
Uncia uncia
Atilax paludinosus
Bdeogale nigripes
Crossarchus obscurus
Cynictis penicillata
Galerella pulverulenta
Galerella sanguinea
Helogale parvula
Herpestes edwardsi
Herpestes javanicus
Herpestes smithii
Herpestes urva
Herpestes vitticollis
Ichneumia albicauda
Mungos mungo
Suricata suricatta
Crocuta crocuta
Hyaena brunnea
Hyaena hyaena
Proteles cristata
Conepatus chinga
Conepatus leuconotus
Mephitis mephitis
Spilogale putorius
Aonyx capensis
Aonyx cinereus
Arctonyx collaris
Eira barbara
Enhydra lutris
Galictis cuja
Galictis vittata
Gulo gulo
Hydrictis maculicollis
Ictonyx striatus
Lontra canadensis
Lutra lutra
Martes americana
Martes flavigula
Martes foina
Martes martes
Martes pennanti
Martes zibellina
Meles meles
Mellivora capensis
Melogale moschata
Mustela erminea
Mustela eversmanii
Mustela frenata
Mustela lutreola
Mustela nigripes
Mustela nivalis
Mustela putorius
Mustela sibirica
Neovison vison
Pteronura brasiliensis
Taxidea taxus
Vormela peregusna
Nandinia binotata
Arctocephalus australis
Arctocephalus pusillus
Eumetopias jubatus
Neophoca cinerea
Otaria flavescens
Zalophus californianus
Halichoerus grypus
Phoca vitulina
Pusa hispida
Pusa sibirica
Bassaricyon alleni
Bassaricyon gabbii
Bassariscus astutus
Bassariscus sumichrasti
Nasua narica
Nasua nasua
Potos flavus
Procyon cancrivorus
Procyon lotor
Ailuropoda melanoleuca
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus americanus
Ursus arctos
Ursus maritimus
Ursus thibetanus
Arctictis binturong
Arctogalidia trivirgata
Civettictis civetta
Genetta genetta
Genetta maculata
Genetta tigrina
Hemigalus derbyanus
Paguma larvata
Paradoxurus hermaphroditus
Viverra civettina
Viverra tangalunga
Viverra zibetha
Balaena mysticetus
Eubalaena australis
Eubalaena glacialis
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera physalus
Megaptera novaeangliae
Delphinus delphis
Globicephala macrorhynchus
Globicephala melas
Grampus griseus
Lagenorhynchus acutus
Lagenorhynchus obliquidens
Orcaella brevirostris
Orcinus orca
Peponocephala electra
Pseudorca crassidens
Stenella attenuata
Stenella coeruleoalba
Steno bredanensis
Tursiops truncatus
Eschrichtius robustus
Berardius bairdii
Hyperoodon ampullatus
Mesoplodon europaeus
Ziphius cavirostris
Inia geoffrensis
Kogia breviceps
Lipotes vexillifer
Delphinapterus leucas
Monodon monoceros
Neophocaena phocaenoides
Phocoena phocoena
Phocoenoides dalli
Physeter macrocephalus
Saccopteryx bilineata
Taphozous georgianus
Taphozous hilli
Hipposideros fulvus
Macroderma gigas
Megaderma lyra
Miniopterus schreibersii
Molossus molossus
Tadarida brasiliensis
Tadarida teniotis
Mystacina tuberculata
Noctilio leporinus
Anoura geoffroyi
Artibeus jamaicensis
Carollia perspicillata
Desmodus rotundus
Diphylla ecaudata
Glossophaga soricina
Leptonycteris curasoae
Macrotus californicus
Macrotus waterhousii
Phyllostomus discolor
Phyllostomus hastatus
Platyrrhinus lineatus
Sturnira lilium
Cynopterus brachyotis
Cynopterus sphinx
Dobsonia moluccensis
Eidolon helvum
Epomophorus gambianus
Epomophorus wahlbergi
Haplonycteris fischeri
Pteropus alecto
Pteropus dasymallus
Pteropus giganteus
Pteropus hypomelanus
Pteropus livingstonii
Pteropus lylei
Pteropus niger
Pteropus poliocephalus
Pteropus pselaphon
Pteropus pumilus
Pteropus rodricensis
Pteropus scapulatus
Pteropus vampyrus
Rousettus aegyptiacus
Rousettus lanosus
Rousettus leschenaultii
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
